Full Name,Draft Value,Initial State,Initial Team Color,Initial Ideology,Draft Year,Historic Retirement,Death Year,First Year Command,First Year Legislative,First Year Governing,First Year Judicial,First Year Military,First Year Administrative,Flip Date Year 1,Flip Date Year 2,Flip Date Year 3
George W Pepper,14,PA,Red,Mod,1892,1928,1961,0,1,0,0,0,0,,,
Mary Norton,14,NJ,Blue,Prog,1900,1952,1959,0,1,0,0,0,0,,,
Robert P Bass,14,NH,Red,Prog,1900,1916,1960,0,1,1,0,0,0,,,
Jim Nance McCord,14,TN,Blue,Lib,1904,1948,1968,0,1,1,0,0,0,,,
Howard W Smith,14,VA,Blue,Cons,1908,1968,1976,0,1,0,1,0,0,,,
Hugo Black,14,AL,Blue,Mod,1912,,1971,0,1,0,2,1,0,,,
Fred M Vinson,14,KY,Blue,Lib,1916,,1953,0,1,0,2,0,1,,,
Stephen M Young,14,OH,Blue,Mod,1916,1972,1984,0,1,1,0,1,1,,,
Lister Hill,14,AL,Blue,Trad,1920,1972,1984,0,2,0,0,0,0,,,
Robert H Jackson,14,NY,Blue,Lib,1920,,1954,0,0,0,2,0,2,,,
J Lindsay Almond,14,VA,Blue,Cons,1924,1972,1986,0,1,1,1,0,1,,,
Millard Caldwell,14,FL,Blue,Trad,1924,1952,1984,0,1,1,1,1,0,,,
Kenneth Keating,14,NY,Red,Lib,1928,,1975,0,1,0,1,2,2,,,
Ralph Yarborough,14,TX,Blue,Lib,1928,1972,1996,0,1,1,0,0,0,,,
Donald S Russell,14,SC,Blue,Cons,1932,1976,1998,0,1,1,1,1,1,,,
Edward F Arn,14,KS,Red,Mod,1932,1964,1998,0,1,1,0,1,1,,,
Roman Hruska,14,NE,Red,Cons,1932,1976,1999,0,2,0,0,0,0,,,
Arthur Goldberg,14,IL,Blue,Lib,1936,1976,1990,0,0,1,2,1,1,,,
Meldrim Thomson Jr,14,NH,Red,Cons,1940,1980,2001,0,0,2,0,0,0,,,
Charles Percy,14,IL,Red,Lib,1944,1984,2011,0,1,1,0,1,0,,,
Al Quie,14,MN,Red,Mod,1948,1984,,0,1,1,0,0,0,,,
Brendan Byrne,14,NJ,Blue,Lib,1952,1984,2018,0,0,2,1,1,0,,,
John Warner,14,VA,Red,Cons,1952,2008,2021,0,2,0,0,1,1,,,
Lowell Weicker,14,CT,Red,Lib,1956,1996,,0,1,1,0,1,0,,,
Norman Mineta,14,CA,Blue,Mod,1956,2008,,0,1,1,0,0,1,,,
Rudy Boschwitz,14,MN,Red,Mod,1956,1992,,0,1,0,0,0,1,,,
Shirley Temple,14,CA,Red,Cons,1956,1996,2014,0,1,0,0,0,1,,,
George J Mitchell,14,ME,Blue,Lib,1960,1996,,0,2,0,1,1,1,,,
Jake Garn,14,UT,Red,Cons,1960,1992,,0,1,1,0,1,0,,,
Jim Inhofe,14,OK,Red,Trad,1960,2024,,0,2,1,0,0,0,,,
Paul Sarbanes,14,MD,Blue,Lib,1960,2008,,0,2,0,0,0,0,,,
Leon Panetta,14,CA,Blue,Lib,1964,2012,,0,1,0,0,1,1,,,
Richard Posner,14,IL,Red,Cons,1964,,,0,0,0,2,0,1,,,
Jim Clyburn,14,SC,Blue,Lib,1968,,,0,1,0,0,0,1,,,
Patrick Leahy,14,VT,Blue,Lib,1968,2024,,0,2,0,0,0,1,,,
Barbara Lee,14,CA,Blue,Prog,1972,,,0,1,0,0,0,1,,,
Dennis Kucinich,14,OH,Blue,LW Pop,1972,,,0,1,1,0,0,0,,,
Dan Patrick,14,TX,Red,Trad,1976,,,0,1,1,0,0,0,,,
Darrell Issa,14,CA,Red,Trad,1980,,,0,1,0,0,1,1,,,
Don Bacon,14,NE,Red,Cons,1988,,,0,1,0,0,2,0,,,
Mike Pompeo,14,KS,Red,Cons,1988,,,0,1,0,0,1,1,,,
Edward Telfair,13.5,GA,Blue,Cons,1760,1796,1807,0,1,2,0,0,0,,,
Joshua R Giddings,13.5,OH,Blue,Prog,1820,1860,1864,0,1,0,0,0,1,1836,,
Fernando Wood,13.5,NY,Blue,Cons,1840,,1881,0,1,1,0,0,0,,,
William W Hoppin,13.5,RI,Red,Mod,1832,1860,1890,0,1,1,0,0,0,,,
John Kelly,13.5,NY,Blue,Lib,1848,1884,1886,0,1,1,0,0,0,,,
Augustus Maxwell,13.5,FL,Blue,Cons,1848,1888,1903,0,1,0,1,0,1,,,
Eugene V Debs,13.5,IN,Blue,LW Pop,1880,,1926,0,1,0,0,0,0,,,
Spiro T Agnew,13.5,MD,Red,Mod,1944,1976,1996,0,0,1,0,1,0,,,
Robert J Bentley,13.5,AL,Red,Cons,1968,2020,,0,1,2,0,1,0,,,
Richard Henry Lee,13.5,VA,Blue,Cons,1760,,1794,0,3,0,2,0,0,,,
Robert Rhett,13.5,SC,Blue,Trad,1828,1852,1876,0,1,0,0,0,1,,,
John Bell,13.5,TN,Blue,Mod,1824,1864,1869,0,2,0,0,0,1,1836,,
Davy Crockett,13.5,TN,Red,Mod,1812,1836,1836,0,1,0,0,1,0,,,
John Hart,13.5,NJ,Blue,Mod,1740,,1779,0,1,1,1,0,0,,,
George Mason,13.5,VA,Blue,RW Pop,1752,,1792,0,1,1,0,0,0,,,
Richard Caswell,13.5,NC,Blue,Mod,1756,,1789,0,1,2,0,1,1,,,
Thomas Bee,13.5,SC,Red,Cons,1764,1812,1812,0,1,2,2,0,0,,,
Charles Coatesworth Pinckney,13.5,SC,Red,Cons,1772,1820,1825,0,1,0,0,2,2,,,
John Tyler Sr,13.5,VA,Blue,Trad,1772,,1813,0,1,2,2,0,0,,,
Peter Muhlenberg,13.5,PA,Blue,Mod,1772,,1807,0,2,1,0,2,0,,,
Richard Bassett,13.5,DE,Blue,Mod,1772,1804,1815,0,1,1,1,1,0,1792,,
Jared Ingersoll,13.5,PA,Red,Cons,1776,1816,1822,0,1,0,2,0,0,,,
John Taylor,13.5,VA,Blue,RW Pop,1780,1824,1824,0,1,0,0,1,0,,,
Joseph Bloomfield,13.5,NJ,Blue,Cons,1780,1820,1823,0,1,2,1,1,0,,,
Richard Stockton,13.5,NJ,Red,Mod,1792,,1828,0,1,1,0,0,0,,,
William Schley,13.5,GA,Blue,Cons,1812,1840,1858,0,1,1,1,0,0,,,
George McDuffie,13.5,SC,Blue,Trad,1816,,1851,0,1,1,0,0,0,,,
Richard Irvine Manning I,13.5,SC,Blue,Cons,1816,,1836,0,1,1,0,1,0,,,
Robert P Letcher,13.5,KY,Blue,Cons,1816,1852,1861,0,1,1,0,0,1,1824,,
Lafayette Foster,13.5,CT,Red,Mod,1832,1868,1880,0,2,1,1,0,0,,,
Seth Padelford,13.5,RI,Red,Lib,1832,1876,1878,0,1,1,0,0,0,,,
William A. Buckingham,13.5,CT,Red,Mod,1832,,1875,0,1,2,0,0,0,,,
Stephen Miller,13.5,MN,Red,Lib,1844,,1881,0,1,1,0,1,0,,,
James Milton Smith,13.5,GA,Blue,Trad,1848,,1890,0,1,2,1,1,0,,,
La Fayette Grover,13.5,OR,Blue,Mod,1848,1884,1911,0,1,2,0,0,0,,,
Orris S Ferry,13.5,CT,Red,Lib,1848,,1875,0,1,0,1,1,0,,,
Alfred Moore Scales,13.5,NC,Blue,Cons,1852,,1892,0,1,1,1,1,0,,,
John B Page,13.5,VT,Red,Lib,1852,,1885,0,1,1,0,0,1,,,
Richard J Oglesby,13.5,IL,Red,Mod,1852,1888,1899,0,1,2,0,2,0,,,
J Donald Cameron,13.5,PA,Red,Mod,1860,1896,1918,0,2,0,0,0,1,,,
Roger Q Mills,13.5,TX,Blue,Cons,1860,1900,1911,0,2,0,0,1,0,,,
William D Bloxham,13.5,FL,Blue,Cons,1860,1904,1911,0,1,2,0,0,1,,,
Arthur Pue Gorman,13.5,MD,Blue,Cons,1864,,1906,0,2,0,0,0,0,,,
Henry George,13.5,NY,Red,LW Pop,1864,,1897,0,0,1,0,0,0,,,
James Philip Eagle,13.5,AR,Blue,Cons,1864,,1904,0,1,2,0,1,0,,,
James H Berry,13.5,AR,Blue,Cons,1868,1908,1913,0,2,1,1,1,0,,,
Thomas G Jones,13.5,AL,Blue,Cons,1872,,1914,0,1,2,1,1,0,,,
George Earle Chamberlain,13.5,OR,Blue,Mod,1880,1920,1928,0,1,2,0,0,1,,,
Harry Lane,13.5,OR,Blue,Prog,1880,,1917,0,1,1,0,0,0,,,
Duncan U Fletcher,13.5,FL,Blue,Trad,1884,1936,1936,0,2,1,0,0,0,,,
Ernest Lister,13.5,WA,Blue,LW Pop,1896,,1919,0,0,2,0,0,0,,,
John C W Beckham,13.5,KY,Blue,Trad,1896,1920,1940,0,1,2,0,0,0,,,
J A A Burnquist,13.5,MN,Red,Lib,1904,1924,1961,0,1,2,0,0,1,,,
Warren Austin,13.5,VT,Red,Mod,1904,1956,1962,0,2,1,0,0,2,,,
Alexander Wiley,13.5,WI,Red,LW Pop,1912,1964,1967,0,2,1,0,0,0,,,
Edwin C Johnson,13.5,CO,Blue,Mod,1912,1960,1970,0,2,2,0,0,0,,,
Kenneth Wherry,13.5,NE,Red,RW Pop,1920,,1951,0,1,0,0,0,0,,,
Prentice Cooper,13.5,TN,Blue,Trad,1920,1948,1969,0,1,2,0,1,1,,,
Spessard Holland,13.5,FL,Blue,Trad,1920,1972,1971,0,2,1,1,1,0,,,
W Kerr Scott,13.5,NC,Blue,Trad,1924,,1958,0,1,1,0,0,0,,,
Estes Kefauver,13.5,TN,Blue,Lib,1928,,1963,0,2,0,0,0,0,,,
Henry Cabot Lodge Jr,13.5,MA,Red,Mod,1928,,1985,0,1,0,0,1,2,,,
Jacob Javits,13.5,NY,Red,Prog,1932,1980,1986,0,2,1,0,1,1,,,
Philip Hart,13.5,MI,Blue,Lib,1940,,1976,0,1,1,0,1,0,,,
Tom McCall,13.5,OR,Red,Prog,1940,1976,1983,0,1,2,0,0,1,,,
Howard Metzenbaum,13.5,OH,Blue,Lib,1944,1996,2008,0,2,0,0,0,0,,,
Frank Church,13.5,ID,Blue,Prog,1952,,1984,0,2,0,0,1,0,,,
Phillip Burton,13.5,CA,Blue,Lib,1952,,1983,0,1,0,0,0,0,,,
Mel Carnahan,13.5,MO,Blue,Mod,1960,,2000,0,1,2,1,0,1,,,
Pete du Pont IV,13.5,DE,Red,Mod,1960,1988,,0,1,2,0,0,0,,,
Zell Miller,13.5,GA,Blue,Trad,1960,2004,2018,0,1,2,0,0,0,,,
Harry Reid,13.5,NV,Blue,Mod,1964,2016,,0,2,1,0,0,1,,,
Mike Castle,13.5,DE,Red,Mod,1964,2012,,0,1,2,0,0,0,,,
Tommy Thompson,13.5,WI,Red,Cons,1968,2004,,0,1,2,0,1,1,,,
Tom Ridge,13.5,PA,Red,Cons,1972,2004,,0,1,2,0,0,1,,,
Chuck Schumer,13.5,NY,Blue,Lib,1976,,,0,2,0,0,0,0,,,
Dave Heineman,13.5,NE,Red,Cons,1976,2016,,0,0,3,0,1,1,,,
Mike Johanns,13.5,NE,Red,Cons,1976,2016,,0,1,2,0,0,1,,,
Al Sharpton,13.5,NY,Blue,Lib,1980,2008,,0,0,0,0,0,0,,,
Gary Johnson,13.5,NM,Red,Mod,1980,2020,,0,1,2,0,0,0,,,
Ron Kirk,13.5,TX,Blue,Mod,1980,2012,,0,1,1,0,0,1,,,
Kate Brown,13.5,OR,Blue,Lib,1988,,,0,1,2,0,0,1,,,
Kamala Harris,13.5,CA,Blue,Lib,1992,,,0,1,0,0,0,1,,,
William Blount,13,NC,Blue,Trad,1776,,1800,0,1,2,0,0,0,,,
Jonathan Dayton,13,NJ,Red,Mod,1788,,1824,0,3,0,0,0,0,,,
Columbus Delano,13,OH,Red,Cons,1836,1876,1896,0,1,0,0,0,2,,,
Thomas R Marshall,13,IN,Blue,Lib,1880,,1925,0,0,1,0,0,0,,,
Thomas Watt Gregory,13,TX,Blue,Lib,1888,1920,1933,0,0,0,1,0,1,,,
John F Kennedy,13,MA,Blue,Mod,1944,,1963,0,1,0,0,1,0,,,
Francois Duvalier,13,Carribean,Red,RW Pop,1934,,1971,0,0,0,0,0,1,,,
Alan Cranston,13,CA,Blue,Lib,1940,1992,2000,0,2,0,0,0,1,,,
Michael Flynn,13,VA,Blue,RW Pop,1984,2020,,0,0,0,0,2,1,2016,,
Matthew C Perry,13,RI,Red,Mod,1820,,1858,0,0,0,0,2,0,,,
Maxwell D Taylor,13,MO,Blue,Mod,1928,1968,1987,0,0,1,0,2,1,,,
Pierre G T Beauregard,13,LA,Blue,Cons,1844,1868,1893,0,0,0,0,2,1,,,
William C C Claiborne,13,TN,Blue,Cons,1800,,1817,0,1,2,0,0,0,,,
Genevieve Clark Thomson,13,MO,Blue,Prog,1920,1932,1981,0,1,0,0,0,1,,,
India Edwards,13,TN,Blue,Lib,1920,1956,1990,0,0,0,0,0,1,,,
William Rehnquist,13,AZ,Red,Cons,1952,,2005,0,0,0,3,0,1,,,
William Ellery,13,RI,Blue,Mod,1752,1792,1820,0,1,0,2,0,0,,,
William Cushing ,13,MA,Red,Cons,1760,,1810,0,0,1,3,0,0,,,
Gunning Bedford Sr,13,DE,Red,Cons,1768,,1797,0,2,2,0,1,0,,,
Joshua Clayton,13,DE,Red,Cons,1772,,1798,0,2,2,0,1,0,,,
Frederick Muhlenberg,13,PA,Red,Mod,1776,1800,1801,0,3,0,0,0,1,1792,,
William B Giles,13,VA,Blue,RW Pop,1788,,1830,0,2,1,0,0,0,,,
Henri Christophe,13,Carribean,Red,RW Pop,1792,,1820,0,0,0,0,2,0,,,
Joseph A Wright,13,IN,Blue,Lib,1836,,1867,0,1,2,0,0,1,,,
William Strong,13,PA,Blue,Mod,1836,1880,1895,0,1,0,2,0,0,1868,,
Mary Jane W Clay,13,KY,Red,LW Pop,1840,,1900,0,0,0,0,0,1,,,
Joshua Lawrence Chamberlain,13,ME,Red,Mod,1856,1872,1914,0,0,1,0,2,0,,,
Chauncey Depew,13,NY,Red,Lib,1860,1912,1928,0,1,1,0,0,1,,,
Alfred Thayer Mahan,13,RI,Red,Mod,1868,1896,1914,0,0,0,0,1,1,,,
Victor L Berger,13,WI,Blue,LW Pop,1888,,1929,0,1,0,0,0,0,,,
David Houston,13,MO,Blue,Cons,1892,1924,1940,0,0,0,0,0,2,,,
Ralph Flanders,13,VT,Red,Mod,1908,1960,1970,0,1,0,0,0,1,,,
Homer S Ferguson,13,MI,Red,Lib,1916,1956,1982,0,1,0,1,0,1,,,
Tom C Clark,13,TX,Blue,Mod,1924,1968,1977,0,0,0,2,1,2,,,
Hiram Fong,13,HI,Red,Mod,1932,1976,2004,0,1,0,0,1,0,,,
Sidney Yates,13,IL,Blue,Lib,1936,2000,2000,0,1,0,0,1,0,,,
Frank Zeidler,13,WI,Blue,Prog,1940,1960,2006,0,0,1,0,0,1,,,
Jack Flynt,13,GA,Blue,Trad,1940,1980,2007,0,1,0,0,1,1,,,
Edward Brooke,13,MA,Red,Lib,1944,1980,2015,0,1,0,0,1,1,,,
Charles Mathias,13,MD,Red,Lib,1948,1988,2010,0,1,0,0,1,1,,,
Melvin Laird,13,WI,Red,Cons,1948,1972,2016,0,1,0,0,1,1,,,
Harold Brown,13,CA,Blue,Mod,1952,1984,2019,0,0,0,0,0,1,,,
Margaret Heckler,13,MA,Red,Mod,1956,1992,2018,0,1,0,0,0,1,,,
Sandra Day O'Connor,13,AZ,Red,Mod,1956,2008,,0,1,0,2,0,0,,,
Slade Gorton,13,OR,Red,Mod,1956,2000,,0,1,0,0,1,1,,,
John Negroponte,13,NY,Red,Cons,1964,2008,,0,0,0,0,0,2,,,
Joseph Stiglitz,13,NY,Blue,Prog,1968,,,0,0,0,0,0,1,,,
Ernest Moniz,13,MA,Blue,Lib,1972,2020,,0,0,0,0,0,3,,,
Rick Perry,13,TX,Blue,Cons,1976,,,0,1,2,0,1,1,1988,,
Tom Vilsack,13,IA,Blue,Mod,1976,,,0,1,2,0,0,1,,,
Elaine Chao,13,KY,Red,Cons,1980,,,0,0,0,0,0,3,,,
Oprah Winfrey,13,IL,Blue,Lib,1980,2020,,0,0,0,0,0,0,,,
Neil Gorsuch,13,CO,Red,Cons,1992,,,0,0,0,2,0,0,,,
Albert B Fall,12.5,NM,Red,Cons,1888,1924,1944,0,1,0,1,1,1,,,
Pa Ferguson,12.5,TX,Blue,Cons,1896,1936,1944,0,1,1,0,0,0,,,
Owen Brewster,12.5,ME,Red,Cons,1916,1952,1961,0,1,1,0,1,0,,,
Harry P Cain,12.5,WA,Red,RW Pop,1932,1952,1979,0,1,1,0,1,0,,,
Arch Moore,12.5,WV,Red,Cons,1948,1992,2015,0,1,2,0,1,0,,,
Kirk Fordice,12.5,MS,Red,Cons,1960,2000,2004,0,0,2,0,1,0,,,
George Ryan,12.5,IL,Red,Cons,1960,2004,,0,1,1,0,0,1,,,
Steve Scalise,12.5,LA,Red,Trad,1992,,,0,2,0,0,0,0,,,
Pancho Villa,12.5,Mexico,Blue,Lib,1904,,1923,0,0,1,0,2,0,,,
Robert F Stockton,12.5,NJ,Blue,Mod,1820,1852,1866,0,1,1,0,2,0,,,
Marquis de Lafayette,12.5,NY,Red,Lib,1784,1788,1834,0,1,1,0,3,1,,,
Davis Hanson Waite,12.5,WI,Red,LW Pop,1852,1896,1901,0,1,1,0,0,0,,,
Samuel Osgood,12.5,MA,Red,Mod,1772,,1813,0,2,0,1,0,2,,,
Mahlon Dickerson,12.5,PA,Blue,Mod,1796,1840,1853,0,1,1,1,0,1,,,
William Woodbridge,12.5,OH,Red,Mod,1808,1848,1861,0,1,1,1,0,1,,,
Ethan Allen Brown,12.5,OH,Blue,RW Pop,1804,1836,1852,0,1,1,1,0,1,,,
Epaphroditus Ransom,12.5,VT,Blue,Lib,1824,,1859,0,1,1,1,0,1,,,
Joseph Lane,12.5,IN,Blue,Cons,1828,1860,1881,0,1,1,0,1,0,,,
Thomas Tipton,12.5,PA,Red,Lib,1844,1876,1899,0,1,1,0,0,1,,,
Arthur Boreman,12.5,VA,Red,Mod,1848,1876,1896,0,1,2,1,0,0,,,
Edward A Stevenson,12.5,CA,Blue,RW Pop,1856,,1895,0,1,1,1,0,0,,,
Roy Romer,12.5,CO,Blue,Lib,1956,2000,,0,1,2,0,0,1,,,
Bill Weld,12.5,MA,Red,Mod,1972,2020,,0,1,2,0,0,1,,,
Edmund Pendleton,12.5,VA,Red,Mod,1748,,1803,0,2,0,2,0,0,,,
John Witherspoon,12.5,NJ,Red,Cons,1748,1796,1794,0,2,0,0,0,0,,,
Alexander McDougall,12.5,NY,Blue,Mod,1760,,1786,0,1,0,0,2,2,,,
George Clymer,12.5,PA,Red,Cons,1764,1796,1813,0,2,0,0,0,2,,,
William Heath,12.5,MA,Red,Mod,1764,1792,1814,0,1,1,1,2,0,,,
Arthur Lee,12.5,VA,Red,Lib,1768,,1792,0,1,0,0,0,2,,,
Gunning Bedford Jr,12.5,DE,Blue,Mod,1772,,1812,0,2,0,2,1,0,,,
Joseph Habersham,12.5,GA,Red,Cons,1776,,1815,0,1,1,0,1,1,,,
Peter Gansevoort,12.5,NY,Blue,Mod,1776,,1812,0,1,1,0,2,1,,,
Joseph Hiester,12.5,PA,Blue,Mod,1780,1824,1832,0,1,1,0,1,0,,,
Ezra Butler,12.5,VT,Blue,Lib,1788,1832,1838,0,1,1,1,0,0,1824,,
Jesse Franklin,12.5,NC,Blue,RW Pop,1788,,1823,0,1,1,0,0,0,,,
Edward Tiffin,12.5,OH,Blue,Cons,1792,,1829,0,1,1,0,0,1,,,
Gabriel Slaughter,12.5,KY,Blue,Mod,1792,,1830,0,1,1,0,1,0,,,
Harrison Gray Otis,12.5,MA,Red,Lib,1792,1836,1848,0,1,1,1,0,1,,,
Duncan McArthur,12.5,OH,Red,Cons,1800,,1839,0,1,1,0,2,0,,,
James Clark,12.5,KY,Blue,LW Pop,1804,,1839,0,1,1,1,0,0,1836,,
John Mattocks,12.5,VT,Red,Cons,1804,1844,1847,0,1,1,1,2,0,,,
Cornelius P Comegys,12.5,DE,Red,Mod,1808,1844,1851,0,1,1,0,1,1,,,
George Troup,12.5,GA,Blue,RW Pop,1808,1832,1856,0,1,1,0,0,0,,,
Henry A S Dearborn,12.5,MA,Red,Cons,1808,,1851,0,1,1,0,0,1,,,
John Forsyth,12.5,GA,Blue,Cons,1808,,1841,0,1,1,0,0,2,,,
John Page,12.5,NH,Blue,Lib,1812,1844,1865,0,1,1,0,0,0,,,
Marcus Morton,12.5,MA,Blue,Lib,1812,1848,1864,0,1,1,1,0,0,,,
Peter V Daniel,12.5,VA,Blue,Cons,1812,1860,1860,0,1,1,2,0,0,,,
James M Wayne,12.5,GA,Blue,Cons,1816,,1867,0,1,1,2,0,0,,,
John Reynolds,12.5,IL,Blue,Mod,1816,1844,1865,0,1,1,1,1,0,,,
Willie P Mangum,12.5,NC,Blue,Cons,1820,1856,1861,0,2,0,1,0,0,1832,,
John B Dawson,12.5,LA,Blue,Trad,1824,1844,1845,0,1,1,1,1,0,,,
Ralph Metcalf,12.5,NH,Blue,Mod,1824,,1858,0,1,1,0,0,1,1856,,
John S Barry,12.5,MI,Blue,Lib,1828,,1870,0,1,1,1,0,0,,,
Benito Juarez,12.5,Mexico,Blue,Cons,1832,,1872,0,1,1,1,0,1,,,
Henry A Wise,12.5,VA,Blue,Cons,1832,1860,1876,0,1,1,0,1,1,1868,,
William B Campbell,12.5,TN,Red,Mod,1832,,1867,0,1,1,1,1,0,,,
Andrew Johnson,12.5,TN,Blue,Mod,1836,,1875,0,1,2,0,1,0,,,
Edwin D. Morgan,12.5,NY,Red,Mod,1836,1880,1883,0,1,1,0,1,1,,,
John Covode,12.5,PA,Red,Prog,1836,,1871,0,1,0,0,0,0,,,
Lewis McKenzie,12.5,VA,Red,Cons,1836,1872,1895,0,1,1,1,1,0,,,
Robert C Schenck,12.5,OH,Red,Mod,1836,1876,1890,0,1,0,0,1,1,,,
Alexander H Stephens,12.5,GA,Red,Cons,1840,,1883,0,1,1,0,0,0,1860,,
Andrew Jackson Hamilton,12.5,TX,Blue,Lib,1840,,1875,0,1,1,0,0,1,1864,,
David Settle Reid,12.5,NC,Blue,LW Pop,1840,1860,1891,0,1,1,0,0,0,,,
Francis Harrison Pierpont,12.5,VA,Red,Mod,1840,1868,1899,0,0,2,0,0,0,,,
Herschel V Johnson,12.5,GA,Blue,Cons,1840,,1880,0,1,1,1,0,0,,,
James W Nye,12.5,NV,Red,Mod,1840,,1876,0,1,1,1,2,0,,,
Josiah Begole,12.5,MI,Red,Lib,1840,1888,1896,0,1,1,1,0,1,,,
Oran Roberts,12.5,TX,Blue,Trad,1840,1884,1898,0,1,1,1,1,0,,,
Robert M McLane,12.5,MD,Blue,Cons,1840,1892,1898,0,1,1,0,1,1,,,
William T Minor,12.5,CT,Red,Cons,1840,1860,1889,0,1,1,1,0,1,,,
Benjamin Flanders,12.5,LA,Red,Lib,1844,1868,1896,0,1,1,0,1,1,,,
Clement Claiborne Clay,12.5,AL,Blue,Trad,1844,,1882,0,1,0,1,0,0,,,
Curtis Hooks Brogden,12.5,NC,Blue,Cons,1844,1880,1901,0,1,1,0,1,0,1868,,
James T Lewis,12.5,WI,Blue,Mod,1844,1868,1904,0,1,1,1,1,1,1860,,
James Harlan,12.5,IA,Red,Mod,1848,1868,1899,0,1,1,1,0,1,,,
John C Breckinridge,12.5,KY,Blue,Trad,1848,1864,1875,0,1,0,0,1,1,,,
William B Washburn,12.5,MA,Red,Mod,1848,,1887,0,1,1,0,0,0,,,
William Gaston,12.5,MA,Red,Cons,1848,1880,1894,0,1,1,1,0,0,1872,,
George Washington Glick,12.5,KS,Blue,Mod,1852,1988,1911,0,1,1,0,0,0,,,
John A Logan,12.5,IL,Blue,Mod,1852,,1886,0,1,0,0,2,0,,,
William C Endicott,12.5,MA,Red,Mod,1852,1892,1900,0,1,1,1,0,2,1872,,
David Jerome,12.5,MI,Red,Lib,1856,,1896,0,1,1,0,1,0,,,
Harris Plaisted,12.5,ME,Red,Lib,1856,1884,1898,0,1,1,0,1,1,,,
Person Colby Cheney,12.5,NH,Red,Mod,1856,1892,1901,0,1,1,0,1,1,,,
Thomas Ewing Jr,12.5,OH,Red,Mod,1856,,1896,0,1,1,1,2,0,,,
Thomas W Palmer,12.5,MI,Red,LW Pop,1856,1892,1913,0,1,0,0,0,1,,,
Zebulon Vance,12.5,NC,Red,Trad,1856,,1894,0,1,1,0,1,0,1860,,
Allen D Candler,12.5,GA,Blue,Trad,1860,1904,1910,0,1,1,0,1,1,,,
Augustus H Garland,12.5,AR,Red,Cons,1860,,1899,0,1,1,0,0,1,1860,,
Francis T Nicholls,12.5,LA,Blue,Trad,1860,1896,1912,0,0,2,1,2,0,,,
Ira Joy Chase,12.5,IN,Red,Cons,1860,,1895,0,0,1,0,0,0,,,
John H Ketcham,12.5,NY,Red,Mod,1860,,1906,0,1,1,0,2,0,,,
Phiip W McKinney,12.5,VA,Blue,Trad,1860,,1899,0,1,1,0,1,1,,,
William C Oates,12.5,AL,Blue,Cons,1860,1900,1910,0,1,1,0,2,0,,,
William P Hepburn,12.5,IA,Red,Lib,1860,1908,1916,0,1,0,0,1,0,,,
Joseph C S Blackburn,12.5,KY,Blue,Cons,1864,1908,1918,0,1,1,0,0,0,,,
Lucius F Hubbard,12.5,MN,Red,Lib,1864,1888,1913,0,1,1,0,1,0,,,
Mark Hanna,12.5,OH,Red,Mod,1864,,1904,0,1,0,0,0,0,,,
William Walter Phelps,12.5,NJ,Red,Mod,1864,,1894,0,1,0,1,0,2,,,
Charles T O'Ferrall,12.5,VA,Blue,Trad,1868,,1905,0,1,1,1,1,0,,,
John W Daniel,12.5,VA,Blue,Cons,1868,,1910,0,2,0,0,1,0,,,
Lucius F C Garvin,12.5,RI,Blue,Prog,1868,1908,1922,0,1,1,0,0,0,,,
Nathan Goff Jr,12.5,WV,Red,Mod,1868,1920,1920,0,1,1,1,1,1,,,
Daniel Lindsay Russell,12.5,NC,Red,Lib,1872,,1908,0,1,1,1,1,0,,,
Charles S Thomas,12.5,CO,Blue,Lib,1876,1920,1934,0,1,1,0,0,0,,,
James Smith Jr,12.5,NJ,Blue,Mod,1876,1900,1927,0,1,1,0,0,0,,,
John D White,12.5,KY,Red,Prog,1876,1904,1920,0,1,1,1,0,0,,,
Samuel W McCall,12.5,MA,Red,Lib,1876,1920,1923,0,1,1,0,0,0,,,
Theodore E Burton,12.5,OH,Red,Prog,1876,1928,1929,0,1,0,0,0,0,,,
James B Frazier,12.5,TN,Blue,Cons,1884,1912,1937,0,1,1,0,0,0,,,
Porter McCumber,12.5,ND,Red,Lib,1884,1924,1933,0,2,0,0,0,0,,,
James R Garfield,12.5,OH,Red,Prog,1892,1916,1950,0,1,1,0,0,1,,,
Theodore F Green,12.5,RI,Blue,Lib,1892,1960,1966,0,2,1,0,1,0,,,
C C Young,12.5,CA,Red,Prog,1896,1932,1947,0,1,1,0,0,0,,,
James B A Robertson,12.5,OK,Blue,Prog,1896,,1938,0,0,1,1,0,0,,,
Merritt C Mechem,12.5,NM,Red,Cons,1896,1924,1946,0,1,1,1,0,0,,,
Royal Copeland,12.5,NY,Red,Cons,1896,,1938,0,1,1,0,0,0,1920,,
Henry F Ashurst,12.5,AZ,Blue,Mod,1900,1940,1962,0,2,0,0,0,0,,,
Charles R Mabey,12.5,UT,Red,Mod,1904,1924,1959,0,1,1,0,0,1,,,
James Wadsworth Jr,12.5,NY,Red,Cons,1904,1952,1952,0,1,0,0,0,0,,,
Walter F George,12.5,GA,Blue,Cons,1904,,1957,0,2,0,1,0,0,,,
William Lemke,12.5,ND,Red,LW Pop,1904,,1950,0,1,1,0,0,1,,,
Charles Tobey,12.5,NH,Red,RW Pop,1908,1952,1953,0,1,1,0,0,0,,,
